Day,Reached TL1,Reached TL2,Reached TL3,Reached TL4
2021-07-01,8,0,0,1
2021-05-29,8,2,0,0
2021-08-25,3,0,0,1
2021-02-07,2,1,0,1
2021-09-04,1,1,0,0
2021-08-10,16,2,0,1
2021-08-14,4,1,0,0
2021-03-01,1,0,0,0
2021-04-07,0,0,0,3
2021-03-28,1,0,0,1
2021-08-21,6,1,0,0
2021-03-06,2,0,0,0
2021-11-04,5,1,0,0
2021-06-16,5,2,0,0
2021-01-28,2,0,0,0
2021-05-16,7,0,0,0
2021-07-09,0,1,0,0
2021-01-08,0,0,0,0
2021-09-23,4,2,0,0
2021-07-07,1,0,0,0
2021-09-14,5,4,0,1
2021-04-15,0,2,0,0
2021-07-22,1,0,0,0
2021-04-21,1,0,0,0
2021-03-30,2,0,0,1
2021-03-05,0,1,0,1
2021-03-04,2,0,0,0
2021-09-27,10,4,0,1
2021-08-05,1,0,0,1
2021-02-26,3,0,0,1
2021-05-24,4,0,0,2
2021-03-23,2,0,0,0
2021-03-29,3,0,0,2
2021-05-26,6,0,0,0
2021-11-12,7,4,0,0
2021-10-30,7,0,0,0
2021-11-01,8,1,0,2
2021-01-14,2,1,0,0
2021-02-21,2,0,0,0
2021-09-08,8,2,0,1
2021-05-12,2,0,0,1
2021-09-02,5,2,0,0
2021-08-20,7,0,0,0
2021-06-22,3,0,0,4
2021-05-15,7,1,0,0
2021-05-27,5,1,0,0
2021-11-05,5,2,0,0
2021-01-26,3,0,0,0
2021-05-13,1,0,0,1
2021-07-26,6,0,0,0
2021-04-23,2,2,0,0
2021-02-15,1,0,0,0
2021-10-10,4,0,0,0
2021-03-22,0,0,0,1
2021-03-14,0,1,0,0
2021-06-01,6,0,0,1
2021-11-07,6,1,0,0
2021-01-13,2,0,0,1
2021-09-01,5,1,0,0
2021-10-01,6,3,0,0
2021-05-14,4,0,0,1
2021-10-24,10,2,0,0
2021-01-05,2,0,0,0
2021-06-10,5,1,0,0
2021-04-30,0,1,0,0
2021-07-24,1,0,0,0
2021-09-13,6,1,0,1
2021-11-06,9,2,0,0
2021-09-28,4,0,1,1
2021-10-21,4,1,0,1
2021-03-19,1,0,0,0
2021-07-05,4,3,0,1
2021-08-26,3,3,0,0
2021-06-20,1,1,0,0
2021-08-31,2,1,0,0
2021-05-02,1,0,0,0
2021-03-18,1,0,0,0
2021-09-17,3,1,0,0
2021-07-21,2,0,0,1
2021-07-16,2,0,0,0
2021-06-30,3,0,0,0
2021-06-15,3,2,0,0
2021-08-01,2,0,0,0
2021-03-24,1,0,0,0
2021-10-31,8,3,0,1
2021-07-25,2,1,0,0
2021-09-30,7,0,0,0
2021-03-27,1,0,0,0
2021-05-10,3,1,0,2
2021-09-21,5,0,1,0
2021-08-04,5,0,0,0
2021-08-17,4,0,0,0
2021-04-13,4,0,0,0
2021-04-06,1,0,0,1
2021-07-14,4,0,0,0
2021-10-23,11,3,0,0
2021-09-10,4,0,0,0
2021-07-30,2,3,0,0
2021-04-03,1,0,0,0
2021-09-07,5,1,0,0
2021-02-24,2,0,0,1
2021-04-19,1,2,0,0
2021-10-09,2,1,0,0
2021-03-25,1,0,0,0
2021-02-05,2,0,0,0
2021-02-18,0,1,0,0
2021-06-08,1,1,0,1
2021-07-02,3,0,0,1
2021-06-29,1,0,0,0
2021-09-15,3,2,0,0
2021-05-07,2,1,0,0
2021-10-05,4,0,1,0
2021-05-06,5,0,0,1
2021-04-16,1,1,0,0
2021-10-26,5,2,0,0
2021-08-28,2,0,0,0
2021-05-23,3,0,0,0
2021-04-18,2,0,0,0
2021-07-18,1,0,0,1
2021-05-20,6,3,0,0
2021-03-11,0,0,0,0
2021-04-02,1,0,0,0
2021-11-03,3,1,0,1
2021-08-12,6,1,0,1
2021-04-27,1,0,0,0
2021-01-29,2,1,0,0
2021-01-01,0,0,0,0
2021-01-06,1,0,0,0
2021-02-02,1,0,0,3
2021-08-27,5,3,0,0
2021-10-17,4,0,0,0
2021-08-03,4,1,0,1
