Project Name,Proposal State,Round,Grant Category,Earmarks,Deliverable Checklist,Proposal Standing,OCEAN Requested,OCEAN Granted,Wallet Address,Vote URL,ipfsHash,Snapshot Batch Index,Snapshot Batch Index No,Voted Yes,Voted No
Data Whale,Funded,2,Build & Integrate,General,"[x] [X] The ALGA. application (beta) went live on the Apple App Store and Google Playstore
1. https://apps.apple.com/us/app/alga/id1563145038#?platform=iphone
2. https://play.google.com/store/apps/details?id=com.saadyousaf1997.Algas
[x] [X] We are on track and aim to complete ALGAs Phase 2. However, we underestimated the challenges and budget requirements when starting our research & development to finalize this task.
1. We faced a delay when trying to find a solution to integrate OCEAN.js, WalletConnect or MetaMask to our existing App’s React Native Code. ALGAs current code-base is not compatible and there are major changes required.
2. After failing with our current developers, we aimed to solve this collaboratively by actively looking for support in the community, OCEAN developer channels and initiatives such as the Crowdcast Workshop (https://www.crowdcast.io/e/moonbuilders-ws/5).
3. To reach our goal, we have decided to hand over our code in August to a professional blockchain developer with vast experience in React Native. The proposed changes to our code, estimated timeline and technicals will be outlined in a detailed document that can be viewed below. The document is a work in progress and will be updated accordingly: https://bit.ly/3yPZQRc",Completed,,10000,0x5D2B315C465e133a346C960F46f5AA1ED88a3179,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmVtJoo7hp3G5RXAVu9EjHT38Uknipqs7a78P7o8viLQtm,QmVtJoo7hp3G5RXAVu9EjHT38Uknipqs7a78P7o8viLQtm,16,,123725,0
Ocean Academy,Funded,2,Outreach,General,,Unreported,,10000,0x5cFDBd9150596b790AAe28e003EFfac9f29081F9,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmVtJoo7hp3G5RXAVu9EjHT38Uknipqs7a78P7o8viLQtm,QmVtJoo7hp3G5RXAVu9EjHT38Uknipqs7a78P7o8viLQtm,12,,120609,0
Clean Docs,Funded,2,Core Software,General,"[x] [x] Create Py module makdowns from sourcecode (ocean.py, Aquarius, Provider)
- https://docs.oceanprotocol.com/references/read-the-docs/ocean-py/
- https://github.com/oceanprotocol/readthedocs
[x] [x] Regular doc maintenance",Completed,,10000,0x1491e29aDc7a1aa6F8a7e6da5aC0D77BcD7D859E,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmVtJoo7hp3G5RXAVu9EjHT38Uknipqs7a78P7o8viLQtm,QmVtJoo7hp3G5RXAVu9EjHT38Uknipqs7a78P7o8viLQtm,13,,138823,0
RugPullIndex,Funded,2,Build & Integrate,General,"[x] [THIS IS ONGOING FOR RPI LIFETIME] Improve the rating algorithm’s resilience towards Sybil-resistance. We plan to replace the “OCEAN-staked” metric with an “OCEAN-days destroyed” metric. Details here.
[x] [x; ERIGON NODE] Increase the frequency of data pool retrievals (price, liquidity, etc.) daily, e.g., hourly.
- Update: We’ve been working towards this issue since a while now but we haven’t managed to prioritize it. It’d say now that we have the Erigon node and since we’ve separated the crawler into its own NPM package; we’re now closer than ever to implement this change. We can now make almost infinite API calls as we’re hosting our own node. And we’ve prepared the queries and the database to make a surgical change in an upcoming proposal. However, the budget in R2 has long been spent and so we’ll have to raise more to finish this.
[x] [x] Maintain and foster the website such that it stays performant and easy to use.
[x] [x] Document the inner workings of the algorithm publicly to improve transparency.
[x] [x] Work towards introducing an ERC20 token to allow direct investing in the index.
[x] [x] We plan to show the users a time-dependent graph of the index’s performance (our inspiration ). For that, we cleaned our database.
[x] [x] We improved the index by quoting EUR values (instead of OCEAN).
[x] [x] We improved the site’s SEO performance.
[x] [x] We improved the crawler’s stability.
[x] [x] We’ve evaluated the project’s thesis by analyzing the fall of ADASTA-60.
[x] [x] Our web visitors have increased from 254 visitors in January to 413 visitors in February.
[x] [x] I’ve started to work on a protocol that may become useful later called the Simple Signal Replication Protocol .
[x] [x] I’ve started to conceptualize a proposal to scale Ethereum on-chain data
",Completed,,10000,0xbD85278343Fa47D599f42548D85084f57f6CB41d,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmVtJoo7hp3G5RXAVu9EjHT38Uknipqs7a78P7o8viLQtm,QmVtJoo7hp3G5RXAVu9EjHT38Uknipqs7a78P7o8viLQtm,15,,63078,0
VideoWiki,Funded,2,Build & Integrate,General,"Round 2 project Status: Funded - Content Creation integration and customization to the marketplace. Onboarding the data in video format to ocean marketplace.
[x] Status - Completed. Live at Video.Wiki (Premium domain purchased and project rebranded)
All mentioned milestones were achieved and project is successfully running",Completed,,10000,0x42a19cd756651A488f1899157c45Af929bf3695F,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmVtJoo7hp3G5RXAVu9EjHT38Uknipqs7a78P7o8viLQtm,QmVtJoo7hp3G5RXAVu9EjHT38Uknipqs7a78P7o8viLQtm,11,,156431,0
Governor DAO,Funded,2,Unleash Data,General,,Unreported,,10000,0x37A6156e4a6E8B60b2415AF040546cF5e91699bd,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmVtJoo7hp3G5RXAVu9EjHT38Uknipqs7a78P7o8viLQtm,QmVtJoo7hp3G5RXAVu9EjHT38Uknipqs7a78P7o8viLQtm,1,,49676,0
German AI/ML,Funded,2,Outreach,General,"[x] [X] Ocean Protocol has been introduced to the German AI Association and other influencial Actors in Germany, such as eco, BVDW, VDI, Gaia-X, etc.
[x] [X] Assistance and Workshops have been provided for all of those who wanted to know more about Ocean Protocol and the Ocean Marketplace
[x] [X] The proposal of a partnership has been made and discussed, but both parties did not agree on the final terms and postponed this to a later stage of maturity of the market. This is a proposal for the long run and some parts of Ocean Market that are necessary for a German Data & AI portal are still missing. Instead of rushing this we pivoted to bringing Ocean Protocol to the Gaia-X Core where it now can be found in the Architecture Document and Minimal Viable Gaia-X https://www.gaia-x.eu/publications
[x] [X] Various participants of our sessions and workshops took part in the Ocean Academy and got involved in Ocean Protocol
[x] [X] Feedback has been reported back to the community and various change requests have been made on GitHub and in internal discussions with the Academy and OPF",Completed,,10000,0x01e66950353400E93AEe7F041C0303103E2ef5Ab,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmVtJoo7hp3G5RXAVu9EjHT38Uknipqs7a78P7o8viLQtm,QmVtJoo7hp3G5RXAVu9EjHT38Uknipqs7a78P7o8viLQtm,4,,100639,0
Research Data Economy,Funded,2,Outreach,General,"[x] [X] A public pitch deck has been released to the Ocean community as basis for further building and outreach: https://docs.google.com/presentation/d/1ZS_s8EcNmsSEh2IAb_uIT7iXglp97buhUYQcnAqHwHw/edit?usp=sharing
[x] [X] We made contact with ZBW - Leibniz Information Centre for Economics, IfW - Kiel Institute for the World Economy, ZEW - Centre for European Economic Research, VDI/VDE, TU Munich, IDSA - International Data Space Association, Fraunhofer, European Open Science Cloud (EOSC), Gaia-X AISBL, European Commission, Kiel University and the Kiel University of Applied Sciences and Bertelsmann Foundation
[x] [X] The knowledge for the article has been summarized in the latest Use Case documents https://github.com/deltaDAO/Ocean-Protocol-Use-Cases, open pitch deck https://docs.google.com/presentation/d/1ZS_s8EcNmsSEh2IAb_uIT7iXglp97buhUYQcnAqHwHw/edit?usp=sharing and the presentations for the Working Group Data Economy
[x] [] A research project has not been started due to two main reasons. No research grant and free personnel has been available at the most interested research institutions so far and in addition to that the technology has not been perceived as mature enough / the market as not big enough. This will change with the upcoming Gaia-X initiative.
[x] [] Same as above. We were a bit too early.
[x] [X] This is currently being achieved as part of deltaDAOs work and our working students
",Completed,,10000,0x01e66950353400E93AEe7F041C0303103E2ef5Ab,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmVtJoo7hp3G5RXAVu9EjHT38Uknipqs7a78P7o8viLQtm,QmVtJoo7hp3G5RXAVu9EjHT38Uknipqs7a78P7o8viLQtm,14,,254902,0
Data DAO,Not Granted,2,Build & Integrate,General,,,,,0xd69485360F89e824935097Dd594a2b72CD4aDDD8,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmVtJoo7hp3G5RXAVu9EjHT38Uknipqs7a78P7o8viLQtm,QmVtJoo7hp3G5RXAVu9EjHT38Uknipqs7a78P7o8viLQtm,7,,15000,0
Moon Jelly,Not Granted,2,Build & Integrate,General,,,,,0xF8dac7973f0F444E19bf671915187A0A92f18313,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmVtJoo7hp3G5RXAVu9EjHT38Uknipqs7a78P7o8viLQtm,QmVtJoo7hp3G5RXAVu9EjHT38Uknipqs7a78P7o8viLQtm,6,,8000,0
Ocean x DeFi,Not Granted,2,Outreach,General,,,,,0x5f532e354a72ee73778f03e16823a2c2e2fb312b,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmVtJoo7hp3G5RXAVu9EjHT38Uknipqs7a78P7o8viLQtm,QmVtJoo7hp3G5RXAVu9EjHT38Uknipqs7a78P7o8viLQtm,5,,0,0
Project Coral,Not Granted,2,Outreach,General,,,,,0x65f4424cea0593c53fe4e34d55455238bd058a6c,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmVtJoo7hp3G5RXAVu9EjHT38Uknipqs7a78P7o8viLQtm,QmVtJoo7hp3G5RXAVu9EjHT38Uknipqs7a78P7o8viLQtm,2,,32488,0
Resilient ML,Not Granted,2,Unleash Data,General,,,,,0x4D4290CBA904aBb4dFbc1568766bCD88e67Be391,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmVtJoo7hp3G5RXAVu9EjHT38Uknipqs7a78P7o8viLQtm,QmVtJoo7hp3G5RXAVu9EjHT38Uknipqs7a78P7o8viLQtm,3,,11078,0
Analytics Translation,Not Granted,2,Outreach,General,,,,,0xa90aa0057f42a6d4456ecdd177e8a4ead3b1ab28,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmVtJoo7hp3G5RXAVu9EjHT38Uknipqs7a78P7o8viLQtm,QmVtJoo7hp3G5RXAVu9EjHT38Uknipqs7a78P7o8viLQtm,10,,0,0
Buidl Ocean,Not Granted,2,Outreach,General,,,,,0x8929cF80A1C2D7870cB8834cc72E00284925BD84,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmVtJoo7hp3G5RXAVu9EjHT38Uknipqs7a78P7o8viLQtm,QmVtJoo7hp3G5RXAVu9EjHT38Uknipqs7a78P7o8viLQtm,8,,16739,0
DataUnion Foundation,Funded,3,Unleash Data,General,[x] [X] Upload Challenge available - see https://alpha.dataunion.app,Completed,,10000,0x655efe6eb2021b8cefe22794d90293aec37bb325,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmRNQBN8ojfqr5CwTLufJawnNd58pSv6B7tWuvA7YvmBqb,QmRNQBN8ojfqr5CwTLufJawnNd58pSv6B7tWuvA7YvmBqb,5,,740139,0
Data Whale,Funded,3,Unleash Data,General,"[x] [X] Our Website, Tokenization Pitch, Business Plan and Research Paper have been re-designed and updated.
https://datawhale.online
https://www.datawhale.online/learn (all other documents)
[x] [X] We have acquired and held around 15-20 introductory meetings with potential corporate data-partners, all of which have signaled their interest but did not move forward with tokenization so far. We have also arranged an introductory meeting between Bruce Pon and a high-level government entity.
[x] [X] We have continued to create value with the help of our Data Token Liquidity Pools. A brief snapshot of our LP numbers can be found below.

Screen Shot 2021-08-12 at 3.30.56 PM
453×561 11 KB

[x] [X] We have hired legal representation to finalize our legal documentation. The documents, including , Terms of Service and Privacy Policy for third-party providers within the Ocean Market eco-system are open-source and can be viewed below. We will also launch our revised tokenization agreement and judicial analysis here: https://datawhale.online/learn and https://www.datawhale.online/terms-conditions
Privacy Policy for Data Token dApp Providers:
https://docs.google.com/document/d/1bkdTIH21gwVFSXKl8OwV3tYU8SmZiMV1/edit?usp=sharing&ouid=102208446087639641051&rtpof=true&sd=true
Terms of Service for Data Token dApp Providers:
https://docs.google.com/document/d/1KRSAtBDt7FHJ2JoXEgma_fSTNi1Yjmt5/edit?usp=sharing&ouid=102208446087639641051&rtpof=true&sd=true",Completed,,10000,0x5D2B315C465e133a346C960F46f5AA1ED88a3179,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmRNQBN8ojfqr5CwTLufJawnNd58pSv6B7tWuvA7YvmBqb,QmRNQBN8ojfqr5CwTLufJawnNd58pSv6B7tWuvA7YvmBqb,20,,331082,0
RugPullIndex,Funded,3,Build & Integrate,General,"[x] [x] We’ll again convert them to USDC upon arrival to minimize our exposure risk to OCEAN and maximize our length of operation.
[x] [x] We want to finish adding a graph to the website that shows the index’ historical performance
[x] [x] We want to continue nurturing the project
[x] [x] We gave an interview to datapeek.org about our origin story.
[x] [x] We improved the look and feel of the front page.
[x] [x] We shipped the index’s performance graph (check our front page too).
[x] [x] We integrated with a CDN for performant global content delivery.
[x] [x] We improved the crawler’s reliability.
[x] [x] We’ve had 450 visitors to the website in March 2021 (similar to last month). However, our users now spend 30 seconds more to compare data sets than last month.
",Completed,,10000,0xbD85278343Fa47D599f42548D85084f57f6CB41d,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmRNQBN8ojfqr5CwTLufJawnNd58pSv6B7tWuvA7YvmBqb,QmRNQBN8ojfqr5CwTLufJawnNd58pSv6B7tWuvA7YvmBqb,19,,233543,0
PoolGov,Funded,3,Build & Integrate,General,,Unreported,,10000,0xf84a022c73F3547932bdb3Cf4a356315fDc76748,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmRNQBN8ojfqr5CwTLufJawnNd58pSv6B7tWuvA7YvmBqb,QmRNQBN8ojfqr5CwTLufJawnNd58pSv6B7tWuvA7YvmBqb,1,,312092,0
Degen Triggers,Funded,3,Build & Integrate,General,,Unreported,,10000,0xf773829a6cFF2a51B8fC4E0D146faE34182bf119,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmRNQBN8ojfqr5CwTLufJawnNd58pSv6B7tWuvA7YvmBqb,QmRNQBN8ojfqr5CwTLufJawnNd58pSv6B7tWuvA7YvmBqb,3,,181529,0
Ocean Dashboard,Funded,3,Build & Integrate,General,,Unreported,,10000,0x97072299584503B7F9ae9A48CbcD30C0Ae2274A2,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmRNQBN8ojfqr5CwTLufJawnNd58pSv6B7tWuvA7YvmBqb,QmRNQBN8ojfqr5CwTLufJawnNd58pSv6B7tWuvA7YvmBqb,7,,133372,0
Votes4LPs,Funded,3,Build & Integrate,General,"[x] [x] Voting for the Ocean marketplace
[ ] [ ] Other voting",Funds Returned,,10000,0x655efe6eb2021b8cefe22794d90293aec37bb325,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmRNQBN8ojfqr5CwTLufJawnNd58pSv6B7tWuvA7YvmBqb,QmRNQBN8ojfqr5CwTLufJawnNd58pSv6B7tWuvA7YvmBqb,13,,157769,0
Dounty,Funded,3,Build & Integrate,General,,Unreported,,10000,0x5acE9C30085572c0E01aE56922Ef61A4F894abd8,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmRNQBN8ojfqr5CwTLufJawnNd58pSv6B7tWuvA7YvmBqb,QmRNQBN8ojfqr5CwTLufJawnNd58pSv6B7tWuvA7YvmBqb,18,,115350,0
Pool Screener,Funded,3,Build & Integrate,General,,Unreported,,10000,0xC767B8d677bEB0A91bB511f20D533cA7Dd524494,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmRNQBN8ojfqr5CwTLufJawnNd58pSv6B7tWuvA7YvmBqb,QmRNQBN8ojfqr5CwTLufJawnNd58pSv6B7tWuvA7YvmBqb,4,,126385,0
Ocean Academy,Funded,3,Outreach,General,,Unreported,,10000,0x5cFDBd9150596b790AAe28e003EFfac9f29081F9,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmRNQBN8ojfqr5CwTLufJawnNd58pSv6B7tWuvA7YvmBqb,QmRNQBN8ojfqr5CwTLufJawnNd58pSv6B7tWuvA7YvmBqb,8,,264733,0
German AI/ML,Funded,3,Outreach,General,"[x] [X] Ocean Protocol has been introduced to the German AI Association and other actors in Germany, such as eco, BVDW, VDI, Gaia-X, etc.
[x] [X] An official open Working Group “Data Economy” has been established and a public panel session feat. Bruce Pon has been held be the German AI Association. The working group is still up and running and meeting on a weekly basis each Thursday.
[x] [X] The proposal of a partnership has been made and discussed, but both parties did not agree on the final terms and postponed this to a later stage of maturity of the market. This is a proposal for the long run and some parts of Ocean Market that are necessary for a German Data & AI portal are still missing. Instead of rushing this we pivoted to bringing Ocean Protocol to the Gaia-X Core where it now can be found in the Architecture Document and Minimal Viable Gaia-X https://www.gaia-x.eu/publications
[x] [X] Various participants of our sessions and workshops took part in the Ocean Academy and got involved in Ocean Protocol
[x] [X] Feedback has been reported back to the community and various change requests have been made on GitHub and in internal discussions with the Academy and OPF
",Completed,,10000,0x01e66950353400E93AEe7F041C0303103E2ef5Ab,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmRNQBN8ojfqr5CwTLufJawnNd58pSv6B7tWuvA7YvmBqb,QmRNQBN8ojfqr5CwTLufJawnNd58pSv6B7tWuvA7YvmBqb,11,,138709,0
Project Coral,Funded,3,Outreach,General,"[x] [x] Conference Workshops & Seminars
Our team has presented at multiple conferences and hackathons, including the International Neuroinformatics Coordinating Facility Conference and the Organization for Human Brain Mapping.
As part of this, we have conducted user research on token economies and the pain points for researchers working with cloud computing workflows. This information will help us perform user requirement design as we finalise our architecture for an application to support Decentralised Scientific Workflows.
[x] [x] Training & Development
The OceanDAO grant enabled us as a team to take part in Kernel Block III.
Below are the deliverables for training and development:
- Opscientia were chosen as one of the top projects to present in the Final Showcase.
- We have also summarised our incredible experience in a blog.
[x] [x] Google Summer of Code Project
The OceanDAO grant directly supported mentorship for Google Summer of Code to work on open-source projects at the intersection of Open Science and Web 3.0.
Below are the deliverables for the GSoC Project:
- Kinshuk’s original GSoC project proposal for Decentralised storage of versioned BIDS datasets with IPFS, datalad and Ceramic
- The blog post outlining Kinshuk’s work this summer with Opscientia and his work for GSoC - DAO Community Spotlight: Kinshuk Kashyap - Decentralized storage of versioned BIDS datasets with IPFS, datalad and Ceramic
- Achintya’s original GSoC project proposal for Securing BIDS Neuroimaging Datasets Stored on Decentralized File Sharing Networks with Self-Sovereign DIDs and IPFS
- The blog post outlining Achintya’s work this summer with Opscientia and his work as Opscientia’s first Open Web Fellow (made possible by OceanDAO) - Opscientia Community Spotlight: Opscientia Open Web Fellowship
[x] [x] Hackathon Spree
OceanDAO has helped us take part in multiple hackathons over the summer and this has resulted in Opscientia being rewarded for our work and helping spotlight the importance of open science to the wider Web3 and scientific communities.
- The team took part in the ETHGlobal Web3Weekend hackathon to build a proof-of-concept of our Data Wallet. The next steps include building out the minimum viable product for scientists to use and test by the end of 2021.
- Our blog post outlining our experience at the ETHGlobal Web3Weekend hackathon - Opscientia DAO Wins Multiple Awards at the EthGlobal Hackathon
- The team also took part in the OHBM Brainhack 2021. Our GitHub issue explains our submission in greater detail
- We gathered user-research feedback from 5 scientists at the OHBM Brainhack. From this, we validated current pain points around academia and data. We gathered initial feedback on our Data Wallet proof-of-concept and sourced questions and comments to flesh out our FAQ’s.
[x] [x] Corporate partnerships with Neuroinformatics Consortia and to support the development of open-source toolkits for the neuroscience community
- Our partnership over the summer with Google’s GSoC was a success.
- We are continuing this work by drafting best practices for reproducible science and publishing the methods of how Web3 will help accelerate the improvement of those practices. This is an ongoing process and will help us develop functional, and user-first tools for scientists.
[x] [x] Survey and quantitative metrics regarding attitudes toward the Data Economy, Ocean Academy, and Web 3.0
- Further to the OHBM hackathon we carried out user-research in the community and have gathered 12 responses which have validated pain points, levels of understanding, and feedback on our vision. This further helped us to generate our FAQ’s and generate high-level user-requirements for the Opsciverse.
[x] [x] Providing initial liquidity to publish the first neuroimaging dataset pool and applications for compute-to-data
- This work is ongoing and initial steps have been taken to publish BIDS Apps and Shady’s brain  on the gaia-x testnet.
[x] [x] Content creation
- We have launched our blog page, please check it out to see what we are up to.
- Walkthrough tutorials have been published on git-annex, DataLad and IPFS:
- Demo: using git-annex with IPFS special remote
- How to setup datalad with IPFS as remote storage
- Our Dao Halls are now recorded and made available on our Youtube channel. Check out our latest one here. If you watch until the end you can hear Sarah’s candid review of it.
",Completed,,10000,0x33359285f30e7b3386de70ca500f4fe27853765b,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmRNQBN8ojfqr5CwTLufJawnNd58pSv6B7tWuvA7YvmBqb,QmRNQBN8ojfqr5CwTLufJawnNd58pSv6B7tWuvA7YvmBqb,14,,133455,0
Ocean x DeFi,Not Granted,3,Outreach,General,,,,,0x5f532e354a72ee73778f03e16823a2c2e2fb312b,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmRNQBN8ojfqr5CwTLufJawnNd58pSv6B7tWuvA7YvmBqb,QmRNQBN8ojfqr5CwTLufJawnNd58pSv6B7tWuvA7YvmBqb,17,,1000,0
Project Appleseed,Not Granted,3,Outreach,General,,,,,0x07cb12A11b67407b3Ac90B3989AB5281d0B3Ee73,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmRNQBN8ojfqr5CwTLufJawnNd58pSv6B7tWuvA7YvmBqb,QmRNQBN8ojfqr5CwTLufJawnNd58pSv6B7tWuvA7YvmBqb,9,,0,0
Currents Project,Not Granted,3,Unleash Data,General,,,,,0xbb397e3F90a5aB8daFd9D8b4E949546537A9d8fb,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmRNQBN8ojfqr5CwTLufJawnNd58pSv6B7tWuvA7YvmBqb,QmRNQBN8ojfqr5CwTLufJawnNd58pSv6B7tWuvA7YvmBqb,6,,946,0
Voting Mechanism Design,Not Granted,3,DAO,General,,,,,0x85F52bc7fF503133C4387b76083a71EAC6cb577C,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmRNQBN8ojfqr5CwTLufJawnNd58pSv6B7tWuvA7YvmBqb,QmRNQBN8ojfqr5CwTLufJawnNd58pSv6B7tWuvA7YvmBqb,2,,5173,0
Improve DAO Voting,Not Granted,3,DAO,General,,,,,0xa5a8c36e3f9C922BCfa56Cd05B5a4Ac6F8313827,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmRNQBN8ojfqr5CwTLufJawnNd58pSv6B7tWuvA7YvmBqb,QmRNQBN8ojfqr5CwTLufJawnNd58pSv6B7tWuvA7YvmBqb,12,,109073,0
